stateCode,State,ElectoralCollege,Biden,Trump,total,preference_diff,actual,correct_flag
AK,Alaska,3,47.38,52.62,420,-5.239999999999995,Trump,1.0
AL,Alabama,9,47.86,52.14,1753,-4.280000000000001,Trump,1.0
AZ,Arizona,11,48.7,51.3,4926,-2.5999999999999943,Biden,0.0
AR,Arkansas,6,49.61,50.39,1159,-0.7800000000000011,Trump,1.0
CA,California,55,50.89,49.11,23278,1.7800000000000011,Biden,1.0
CO,Colorado,9,51.14,48.86,3860,2.280000000000001,Biden,1.0
CT,Connecticut,7,55.47,44.53,1628,10.939999999999998,Biden,1.0
DE,Delaware,3,54.81,45.19,551,9.620000000000005,Biden,1.0
FL,Florida,29,49.56,50.44,14091,-0.8799999999999955,Trump,1.0
GA,Georgia,16,51.09,48.91,3973,2.180000000000007,Biden,1.0
HI,Hawaii,4,45.01,54.99,802,-9.980000000000004,Biden,0.0
IA,Iowa,6,49.57,50.43,1039,-0.8599999999999994,Trump,1.0
ID,Idaho,4,46.06,53.94,673,-7.8799999999999955,Trump,1.0
IL,Illinois,20,52.36,47.64,5052,4.719999999999999,Biden,1.0
IN,Indiana,11,50.0,50.0,2244,0.0,Trump,1.0
KS,Kansas,6,49.77,50.23,1495,-0.45999999999999375,Trump,1.0
KY,Kentucky,8,53.66,46.34,1638,7.319999999999993,Trump,0.0
LA,Louisiana,8,47.39,52.61,1779,-5.219999999999999,Trump,1.0
ME,Maine,4,48.76,51.24,1167,-2.480000000000004,Biden,0.0
MA,Massachusetts,11,50.0,50.0,4006,0.0,Biden,1.0
MD,Maryland,10,50.17,49.83,2643,0.3400000000000034,Biden,1.0
MI,Michigan,16,51.89,48.11,4452,3.780000000000001,Biden,1.0
MN,Minnesota,10,53.3,46.7,2745,6.599999999999994,Biden,1.0
MO,Missouri,10,51.09,48.91,1883,2.180000000000007,Trump,0.0
MS,Mississippi,6,46.72,53.28,640,-6.560000000000002,Trump,1.0
MT,Montana,3,47.65,52.35,533,-4.700000000000003,Trump,1.0
NC,North Carolina,15,51.46,48.54,2536,2.9200000000000017,Trump,0.0
ND,North Dakota,3,44.44,55.56,108,-11.120000000000005,Trump,1.0
NE,Nebraska,5,48.14,51.86,885,-3.719999999999999,Trump,1.0
NH,New Hampshire,4,52.48,47.52,303,4.959999999999994,Biden,1.0
NJ,New Jersey,14,52.24,47.76,1717,4.480000000000004,Biden,1.0
NM,New Mexico,5,48.14,51.86,619,-3.719999999999999,Biden,0.0
NV,Nevada,6,44.68,55.32,2079,-10.64,Biden,0.0
NY,New York,29,51.8,48.2,8780,3.5999999999999943,Biden,1.0
OH,Ohio,18,49.91,50.09,5157,-0.18000000000000682,Trump,1.0
OK,Oklahoma,7,49.53,50.47,1498,-0.9399999999999977,Trump,1.0
OR,Oregon,7,52.32,47.68,3972,4.640000000000001,Biden,1.0
PA,Pennsylvania,20,52.25,47.75,5895,4.5,Biden,1.0
RI,Rhode Island,4,49.23,50.77,325,-1.5400000000000063,Biden,0.0
SC,South Carolina,9,49.82,50.18,1100,-0.35999999999999943,Trump,1.0
SD,South Dakota,3,45.83,54.17,120,-8.340000000000003,Trump,1.0
TN,Tennessee,11,47.84,52.16,2799,-4.319999999999993,Trump,1.0
TX,Texas,38,48.6,51.4,14625,-2.799999999999997,Trump,1.0
UT,Utah,6,52.56,47.44,1075,5.1200000000000045,Trump,0.0
VA,Virginia,13,52.99,47.01,4276,5.980000000000004,Biden,1.0
VT,Vermont,3,48.6,51.4,321,-2.799999999999997,Biden,0.0
WA,Washington,12,50.91,49.09,8254,1.8199999999999932,Biden,1.0
WI,Wisconsin,10,51.56,48.44,2178,3.1200000000000045,Biden,1.0
WV,West Virginia,5,48.46,51.54,227,-3.0799999999999983,Trump,1.0
WY,Wyoming,3,51.2,48.8,250,2.4000000000000057,Trump,0.0
